15:53:42.791613 ------------------------------------------------------------
15:53:42.791775 Client connecting to 10.0.1.24, UDP port 5001 with pid 130512
15:53:42.791860 Binding to local address 10.60.0.1
15:53:42.791890 Sending 200 byte datagrams, IPG target: 305.18 us (kalman adjust)
15:53:42.791921 UDP buffer size:  208 KByte (default)
15:53:42.791971 ------------------------------------------------------------
15:53:42.792002 [  3] local 10.60.0.1 port 49678 connected with 10.0.1.24 port 5001
15:53:42.792032 [ ID] Interval            Transfer     Bandwidth      Write/Err  PPS
15:53:43.400804 [  3] 0.6249-0.6299 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3122 pps
15:53:43.400812 [  3] 0.6299-0.6349 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3300 pps
15:53:43.421396 [  3] 0.6349-0.6399 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3694 pps
15:53:43.421456 [  3] 0.6399-0.6449 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3056 pps
15:53:43.421465 [  3] 0.6449-0.6499 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3400 pps
15:53:43.421473 [  3] 0.6499-0.6549 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3317 pps
15:53:43.441810 [  3] 0.6549-0.6599 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3376 pps
15:53:43.441894 [  3] 0.6599-0.6649 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3173 pps
15:53:43.441918 [  3] 0.6649-0.6699 sec  2.93 KBytes  4.80 Mbits/sec  15/0     2974 pps
15:53:43.441945 [  3] 0.6699-0.6749 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3292 pps
15:53:43.462325 [  3] 0.6749-0.6799 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3040 pps
15:53:43.462410 [  3] 0.6799-0.6849 sec  2.73 KBytes  4.48 Mbits/sec  14/0     3668 pps
15:53:43.462424 [  3] 0.6849-0.6899 sec  2.93 KBytes  4.80 Mbits/sec  15/0     2986 pps
15:53:43.462434 [  3] 0.6899-0.6949 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3529 pps
15:53:43.493550 [  3] 0.6949-0.6999 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3289 pps
15:53:43.493626 [  3] 0.6999-0.7049 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3664 pps
15:53:43.493638 [  3] 0.7049-0.7099 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3264 pps
15:53:43.493649 [  3] 0.7099-0.7149 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3272 pps
15:53:43.493659 [  3] 0.7149-0.7199 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3252 pps
