16:35:16.681468 ------------------------------------------------------------
16:35:16.681574 Client connecting to 10.0.1.24, TCP port 5001 with pid 142514
16:35:16.681587 Binding to local address 10.60.0.1
16:35:16.681596 Write buffer size:  200 Byte
16:35:16.681604 TCP window size: 85.0 KByte (default)
16:35:16.681611 ------------------------------------------------------------
16:35:16.681619 [  3] local 10.60.0.1 port 45481 connected with 10.0.1.24 port 5001 (ct=2127.68 ms)
16:35:16.681627 [ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
16:35:17.242943 [  3] 0.5499-0.5549 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17856 us  35.85
16:35:17.243010 [  3] 0.5549-0.5599 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17910 us  37.98
16:35:17.243021 [  3] 0.5599-0.5649 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17910 us  35.74
16:35:17.243029 [  3] 0.5649-0.5699 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17910 us  37.98
16:35:17.263381 [  3] 0.5699-0.5749 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17910 us  35.74
16:35:17.263467 [  3] 0.5749-0.5799 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17495 us  36.59
16:35:17.263495 [  3] 0.5799-0.5849 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17495 us  38.88
16:35:17.263505 [  3] 0.5849-0.5899 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17495 us  36.59
16:35:17.284797 [  3] 0.5899-0.5949 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17495 us  38.88
16:35:17.284880 [  3] 0.5949-0.5999 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17247 us  37.12
16:35:17.284892 [  3] 0.5999-0.6049 sec  1.37 KBytes  2.24 Mbits/sec  7/0          0       30K/17247 us  16.24
16:35:17.284901 [  3] 0.6049-0.6099 sec  5.08 KBytes  8.32 Mbits/sec  26/0          0       30K/17247 us  60.31
16:35:17.304902 [  3] 0.6099-0.6149 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17247 us  37.12
16:35:17.304986 [  3] 0.6149-0.6199 sec  2.93 KBytes  4.80 Mbits/sec  15/0          0       30K/17219 us  34.85
16:35:17.304997 [  3] 0.6199-0.6249 sec  3.52 KBytes  5.76 Mbits/sec  18/0          0       30K/17219 us  41.82
16:35:17.305005 [  3] 0.6249-0.6299 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17219 us  37.18
16:35:17.325204 [  3] 0.6299-0.6349 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17219 us  39.50
16:35:17.325305 [  3] 0.6349-0.6399 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/19994 us  32.02
16:35:17.325316 [  3] 0.6399-0.6449 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/19994 us  32.02
16:35:17.325326 [  3] 0.6449-0.6499 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/19994 us  34.02
16:35:17.346122 [  3] 0.6499-0.6549 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/19994 us  32.02
16:35:17.346190 [  3] 0.6549-0.6599 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17310 us  36.98
16:35:17.346200 [  3] 0.6599-0.6649 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/17310 us  39.29
16:35:17.346208 [  3] 0.6649-0.6699 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       38K/17310 us  36.98
16:35:17.366530 [  3] 0.6699-0.6749 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       38K/17310 us  39.29
