------------------------------------------------------------
Server listening on UDP port 5001 with pid 130192
Binding to local address 10.0.1.24
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.24 port 5001 connected with 10.60.0.1 port 49678
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.3649-0.3699 sec  5.08 KBytes  8.32 Mbits/sec   0.337 ms    0/   26 (0%)  8.273/ 6.454/ 8.879/ 0.790 ms 3825 pps  125.74
[  3] 0.3699-0.3749 sec  2.15 KBytes  3.52 Mbits/sec   0.292 ms    0/   11 (0%)  8.586/ 7.363/ 8.875/ 0.390 ms 2798 pps  51.25
[  3] 0.3749-0.3799 sec  3.91 KBytes  6.40 Mbits/sec   0.207 ms    0/   20 (0%)  8.224/ 6.935/ 8.875/ 0.291 ms 4118 pps  97.30
[  3] 0.3799-0.3849 sec  2.73 KBytes  4.48 Mbits/sec   0.266 ms    0/   14 (0%)  8.130/ 6.916/ 7.892/ 0.419 ms 2879 pps  68.90
[  3] 0.3849-0.3899 sec  3.52 KBytes  5.76 Mbits/sec   0.313 ms    0/   18 (0%)  8.049/ 6.914/ 7.928/ 0.377 ms 3081 pps  89.47
[  3] 0.3899-0.3949 sec  2.54 KBytes  4.16 Mbits/sec   0.276 ms    0/   13 (0%)  8.280/ 7.050/ 7.926/ 0.324 ms 3357 pps  62.82
[  3] 0.3949-0.3999 sec  4.30 KBytes  7.04 Mbits/sec   0.309 ms    0/   22 (0%)  7.745/ 6.309/ 8.059/ 0.542 ms 4186 pps  113.64
[  3] 0.3999-0.4049 sec  2.73 KBytes  4.48 Mbits/sec   0.415 ms    0/   14 (0%)  8.239/ 6.335/ 8.794/ 0.788 ms 2654 pps  67.99
[  3] 0.4049-0.4099 sec  3.32 KBytes  5.44 Mbits/sec   0.405 ms    0/   17 (0%)  7.817/ 6.361/ 8.740/ 0.650 ms 2889 pps  87.00
[  3] 0.4099-0.4149 sec  2.73 KBytes  4.48 Mbits/sec   0.284 ms    0/   14 (0%)  7.940/ 6.679/ 7.864/ 0.451 ms 3814 pps  70.54
[  3] 0.4149-0.4199 sec  4.10 KBytes  6.72 Mbits/sec   0.396 ms    0/   21 (0%)  7.581/ 6.355/ 8.060/ 0.467 ms 3362 pps  110.83
[  3] 0.4199-0.4249 sec  2.34 KBytes  3.84 Mbits/sec   0.466 ms    0/   12 (0%)  8.238/ 6.530/ 8.689/ 0.622 ms 3085 pps  58.28
[  3] 0.4249-0.4299 sec  3.12 KBytes  5.12 Mbits/sec   0.321 ms    0/   16 (0%)  8.108/ 6.947/ 7.922/ 0.395 ms 2747 pps  78.95
[  3] 0.4299-0.4349 sec  3.32 KBytes  5.44 Mbits/sec   0.305 ms    0/   17 (0%)  8.129/ 6.410/ 8.080/ 0.497 ms 4274 pps  83.67
[  3] 0.4349-0.4399 sec  3.32 KBytes  5.44 Mbits/sec   0.416 ms    0/   17 (0%)  8.124/ 6.898/ 8.863/ 0.657 ms 2906 pps  83.72
[  3] 0.4399-0.4449 sec  3.71 KBytes  6.08 Mbits/sec   0.256 ms    0/   19 (0%)  7.746/ 6.548/ 8.664/ 0.445 ms 4289 pps  98.14
[  3] 0.4449-0.4499 sec  2.54 KBytes  4.16 Mbits/sec   0.277 ms    0/   13 (0%)  8.267/ 6.417/ 8.800/ 0.967 ms 2748 pps  62.92
[  3] 0.4499-0.4549 sec  3.32 KBytes  5.44 Mbits/sec   0.277 ms    0/   17 (0%)  7.829/ 6.742/ 8.130/ 0.339 ms 3497 pps  86.88
[  3] 0.4549-0.4599 sec  1.95 KBytes  3.20 Mbits/sec   0.346 ms    0/   10 (0%)  7.754/ 6.479/ 7.517/ 0.370 ms 4623 pps  51.60
[  3] 0.4599-0.4649 sec  0.00 Bytes  0.00 bits/sec   0.000 ms    0/    0 (0%) -/-/-/- ms    0 pps
[  3] 0.4649-0.4699 sec  7.81 KBytes  12.8 Mbits/sec   0.305 ms    0/   40 (0%)  9.884/ 6.701/14.575/ 2.405 ms 2868 pps  161.91
[  3] 0.4699-0.4749 sec  2.34 KBytes  3.84 Mbits/sec   0.394 ms    0/   12 (0%)  8.477/ 6.949/ 8.872/ 0.636 ms 3136 pps  56.64
[  3] 0.4749-0.4799 sec  3.91 KBytes  6.40 Mbits/sec   0.340 ms    0/   20 (0%)  7.994/ 6.814/ 8.925/ 0.560 ms 3747 pps  100.09
[  3] 0.4799-0.4849 sec  3.12 KBytes  5.12 Mbits/sec   0.270 ms    0/   16 (0%)  7.994/ 6.455/ 8.403/ 0.588 ms 3208 pps  80.07
[  3] 0.4849-0.4899 sec  3.12 KBytes  5.12 Mbits/sec   0.359 ms    0/   16 (0%)  8.452/ 6.849/ 9.428/ 0.826 ms 3148 pps  75.74
[  3] 0.4899-0.4949 sec  2.34 KBytes  3.84 Mbits/sec   0.491 ms    0/   12 (0%)  8.852/ 7.251/ 9.645/ 0.625 ms 2303 pps  54.24
[  3] 0.4949-0.4999 sec  3.91 KBytes  6.40 Mbits/sec   0.402 ms    0/   20 (0%)  8.537/ 7.006/ 9.645/ 0.647 ms 5546 pps  93.73
[  3] 0.4999-0.5049 sec  0.00 Bytes  0.00 bits/sec   0.000 ms    0/    0 (0%) -/-/-/- ms    0 pps
[  3] 0.5049-0.5099 sec  1000 Bytes  1.60 Mbits/sec   0.490 ms    0/    5 (0%) 11.052/ 7.345/10.156/ 0.433 ms  541 pps  18.10
[  3] 0.5099-0.5149 sec  2.93 KBytes  4.80 Mbits/sec   0.681 ms    0/   15 (0%) 12.321/ 9.036/14.071/ 1.362 ms 1564 pps  48.71
[  3] 0.5149-0.5199 sec  3.12 KBytes  5.12 Mbits/sec   0.576 ms    0/   16 (0%) 12.372/ 9.514/13.894/ 1.322 ms 4340 pps  51.74
