16:31:22.568712 ------------------------------------------------------------
16:31:22.568911 Client connecting to 10.0.1.24, TCP port 5001 with pid 141051
16:31:22.568953 Binding to local address 10.60.0.1
16:31:22.568984 Write buffer size:  200 Byte
16:31:22.569010 TCP window size: 85.0 KByte (default)
16:31:22.569036 ------------------------------------------------------------
16:31:22.569064 [  3] local 10.60.0.1 port 49115 connected with 10.0.1.24 port 5001 (ct=16.34 ms)
16:31:22.569113 [ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
16:31:23.169159 [  3] 0.5949-0.5999 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/16656 us  38.43
16:31:23.169167 [  3] 0.5999-0.6049 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/16656 us  40.83
16:31:23.169175 [  3] 0.6049-0.6099 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/16656 us  38.43
16:31:23.189340 [  3] 0.6099-0.6149 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/16656 us  38.43
16:31:23.189570 [  3] 0.6149-0.6199 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17020 us  39.96
16:31:23.189650 [  3] 0.6199-0.6249 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17020 us  37.61
16:31:23.189669 [  3] 0.6249-0.6299 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17020 us  37.61
16:31:23.210013 [  3] 0.6299-0.6349 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17020 us  39.96
16:31:23.210091 [  3] 0.6349-0.6399 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17512 us  36.55
16:31:23.210102 [  3] 0.6399-0.6449 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17512 us  38.84
16:31:23.210110 [  3] 0.6449-0.6499 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17512 us  36.55
16:31:23.230219 [  3] 0.6499-0.6549 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17512 us  36.55
16:31:23.230319 [  3] 0.6549-0.6599 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17139 us  39.68
16:31:23.230330 [  3] 0.6599-0.6649 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17139 us  37.35
16:31:23.230338 [  3] 0.6649-0.6699 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17139 us  37.35
16:31:23.250650 [  3] 0.6699-0.6749 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17139 us  39.68
16:31:23.250778 [  3] 0.6749-0.6799 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17024 us  37.60
16:31:23.250790 [  3] 0.6799-0.6849 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17024 us  39.95
16:31:23.250800 [  3] 0.6849-0.6899 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17024 us  37.60
16:31:23.271010 [  3] 0.6899-0.6949 sec  2.34 KBytes  3.84 Mbits/sec  12/0          0       35K/17024 us  28.20
16:31:23.271098 [  3] 0.6949-0.6999 sec  4.10 KBytes  6.72 Mbits/sec  21/0          0       35K/17364 us  48.39
16:31:23.271109 [  3] 0.6999-0.7049 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17364 us  36.87
16:31:23.271117 [  3] 0.7049-0.7099 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17364 us  39.17
16:31:23.292167 [  3] 0.7099-0.7149 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17364 us  36.87
16:31:23.292264 [  3] 0.7149-0.7199 sec   200 Bytes   320 Kbits/sec  1/0          0       35K/17615 us  2.27
16:31:23.292276 [  3] 0.7199-0.7249 sec  6.25 KBytes  10.2 Mbits/sec  32/0          0       35K/17615 us  72.68
16:31:23.292284 [  3] 0.7249-0.7299 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17615 us  36.34
16:31:23.313247 [  3] 0.7299-0.7349 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17615 us  36.34
16:31:23.313338 [  3] 0.7349-0.7399 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/18283 us  37.20
16:31:23.313351 [  3] 0.7399-0.7449 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/18283 us  35.01
16:31:23.313359 [  3] 0.7449-0.7499 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/18283 us  37.20
16:31:23.334351 [  3] 0.7499-0.7548 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/18283 us  35.01
16:31:23.334470 [  3] 0.7548-0.7598 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/18029 us  35.51
16:31:23.334487 [  3] 0.7598-0.7648 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/18029 us  37.72
16:31:23.334501 [  3] 0.7648-0.7698 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/18029 us  35.51
16:31:23.334514 [  3] 0.7698-0.7748 sec  2.73 KBytes  4.48 Mbits/sec  14/0          0       35K/18029 us  31.07
16:31:23.355544 [  3] 0.7748-0.7798 sec  3.71 KBytes  6.08 Mbits/sec  19/0          0       35K/18029 us  42.16
16:31:23.355661 [  3] 0.7798-0.7848 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17374 us  36.84
16:31:23.355674 [  3] 0.7848-0.7898 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17374 us  39.15
16:31:23.355685 [  3] 0.7898-0.7948 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17374 us  36.84
16:31:23.376605 [  3] 0.7948-0.7998 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17374 us  36.84
16:31:23.376777 [  3] 0.7998-0.8048 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17302 us  39.31
16:31:23.376803 [  3] 0.8048-0.8098 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17302 us  37.00
16:31:23.376819 [  3] 0.8098-0.8148 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17302 us  39.31
16:31:23.398126 [  3] 0.8148-0.8198 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17302 us  37.00
16:31:23.398228 [  3] 0.8198-0.8248 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17517 us  36.54
16:31:23.398238 [  3] 0.8248-0.8298 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17517 us  38.83
16:31:23.398246 [  3] 0.8298-0.8348 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17517 us  36.54
16:31:23.418690 [  3] 0.8348-0.8398 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17517 us  36.54
16:31:23.418766 [  3] 0.8398-0.8448 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17851 us  38.10
16:31:23.418776 [  3] 0.8448-0.8498 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17851 us  35.86
16:31:23.418783 [  3] 0.8498-0.8548 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17851 us  38.10
16:31:23.418791 [  3] 0.8548-0.8598 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17851 us  35.86
16:31:23.439097 [  3] 0.8598-0.8648 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17506 us  36.57
16:31:23.439164 [  3] 0.8648-0.8698 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17506 us  38.85
16:31:23.439174 [  3] 0.8698-0.8748 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17506 us  36.57
16:31:23.439181 [  3] 0.8748-0.8798 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17506 us  36.57
16:31:23.459491 [  3] 0.8798-0.8848 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17506 us  38.85
16:31:23.459564 [  3] 0.8848-0.8898 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17595 us  36.38
16:31:23.459587 [  3] 0.8898-0.8948 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17595 us  38.66
16:31:23.459596 [  3] 0.8948-0.8998 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17595 us  36.38
16:31:23.480112 [  3] 0.8998-0.9048 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17595 us  36.38
16:31:23.480174 [  3] 0.9048-0.9098 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17196 us  39.55
16:31:23.480184 [  3] 0.9098-0.9148 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17196 us  37.23
16:31:23.480192 [  3] 0.9148-0.9198 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17196 us  39.55
16:31:23.500701 [  3] 0.9198-0.9248 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17196 us  37.23
16:31:23.500762 [  3] 0.9248-0.9298 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17000 us  37.65
16:31:23.500772 [  3] 0.9298-0.9348 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17000 us  40.01
16:31:23.500780 [  3] 0.9348-0.9398 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17000 us  37.65
16:31:23.520934 [  3] 0.9398-0.9448 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17000 us  37.65
16:31:23.521146 [  3] 0.9448-0.9498 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17212 us  39.52
16:31:23.521168 [  3] 0.9498-0.9548 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17212 us  37.19
16:31:23.521181 [  3] 0.9548-0.9598 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17212 us  39.52
