------------------------------------------------------------
Server listening on TCP port 5001 with pid 142318
Binding to local address 10.0.1.24
Read buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  4] local 10.0.1.24 port 5001 connected with 10.60.0.1 port 45481
[ ID] Interval            Transfer    Bandwidth       Reads   Dist(bin=16.0K)
[  4] 0.4549-0.4599 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.4599-0.4649 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.4649-0.4699 sec  3.85 KBytes  6.31 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.4699-0.4749 sec  2.76 KBytes  4.52 Mbits/sec  1    1:0:0:0:0:0:0:0
[  4] 0.4749-0.4799 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.4799-0.4849 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.4849-0.4899 sec  2.86 KBytes  4.69 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.4899-0.4949 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.4949-0.4999 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.4999-0.5049 sec  3.65 KBytes  5.99 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.5049-0.5099 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.5099-0.5149 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.5149-0.5199 sec  3.85 KBytes  6.31 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.5199-0.5249 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.5249-0.5299 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.5299-0.5349 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.5349-0.5399 sec  4.45 KBytes  7.28 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.5399-0.5449 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.5449-0.5499 sec  3.66 KBytes  6.00 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.5499-0.5549 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.5549-0.5599 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.5599-0.5649 sec  3.86 KBytes  6.32 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.5649-0.5699 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.5699-0.5749 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.5749-0.5799 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.5799-0.5849 sec  3.65 KBytes  5.99 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.5849-0.5899 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.5899-0.5949 sec  1.38 KBytes  2.26 Mbits/sec  1    1:0:0:0:0:0:0:0
[  4] 0.5949-0.5999 sec  1.91 KBytes  3.12 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.5999-0.6049 sec  6.89 KBytes  11.3 Mbits/sec  5    5:0:0:0:0:0:0:0
[  4] 0.6049-0.6099 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.6099-0.6149 sec  6.78 KBytes  11.1 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.6149-0.6199 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 0.6199-0.6249 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 0.6249-0.6299 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 0.6299-0.6349 sec  9.95 KBytes  16.3 Mbits/sec  4    4:0:0:0:0:0:0:0
[  4] 0.6349-0.6399 sec  1.38 KBytes  2.26 Mbits/sec  1    1:0:0:0:0:0:0:0
[  4] 0.6399-0.6449 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.6449-0.6499 sec  3.85 KBytes  6.31 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.6499-0.6549 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.6549-0.6599 sec  4.26 KBytes  6.98 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.6599-0.6649 sec  1.38 KBytes  2.26 Mbits/sec  1    1:0:0:0:0:0:0:0
[  4] 0.6649-0.6699 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.6699-0.6749 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.6749-0.6799 sec  2.27 KBytes  3.73 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.6799-0.6849 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.6849-0.6899 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.6899-0.6949 sec  4.04 KBytes  6.63 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.6949-0.6999 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.6999-0.7049 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.7049-0.7099 sec  1.38 KBytes  2.26 Mbits/sec  1    1:0:0:0:0:0:0:0
[  4] 0.7099-0.7149 sec  4.26 KBytes  6.98 Mbits/sec  4    4:0:0:0:0:0:0:0
[  4] 0.7149-0.7199 sec  4.14 KBytes  6.78 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.7199-0.7249 sec  1.38 KBytes  2.26 Mbits/sec  1    1:0:0:0:0:0:0:0
[  4] 0.7249-0.7299 sec  4.24 KBytes  6.95 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.7299-0.7349 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.7349-0.7399 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.7399-0.7449 sec  3.86 KBytes  6.32 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.7449-0.7499 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.7499-0.7548 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.7548-0.7598 sec  2.27 KBytes  3.73 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.7598-0.7648 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.7648-0.7698 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 0.7698-0.7748 sec  7.79 KBytes  12.8 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.7748-0.7798 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.7798-0.7848 sec  2.76 KBytes  4.52 Mbits/sec  1    1:0:0:0:0:0:0:0
[  4] 0.7848-0.7898 sec  3.86 KBytes  6.32 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.7898-0.7948 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.7948-0.7998 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.7998-0.8048 sec  3.86 KBytes  6.32 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.8048-0.8098 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.8098-0.8148 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.8148-0.8198 sec  2.48 KBytes  4.06 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.8198-0.8248 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.8248-0.8298 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.8298-0.8348 sec  2.27 KBytes  3.73 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.8348-0.8398 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.8398-0.8448 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.8448-0.8498 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.8498-0.8548 sec  3.65 KBytes  5.99 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.8548-0.8598 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.8598-0.8648 sec  3.86 KBytes  6.32 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.8648-0.8698 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.8698-0.8748 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.8748-0.8798 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.8798-0.8848 sec  2.27 KBytes  3.73 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.8848-0.8898 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.8898-0.8948 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.8948-0.8998 sec  3.86 KBytes  6.32 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.8998-0.9048 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 0.9048-0.9098 sec  0.00 Bytes  0.00 bits/sec  0    0:0:0:0:0:0:0:0
[  4] 0.9098-0.9148 sec  6.66 KBytes  10.9 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.9148-0.9198 sec  6.89 KBytes  11.3 Mbits/sec  4    4:0:0:0:0:0:0:0
[  4] 0.9198-0.9248 sec  1.38 KBytes  2.26 Mbits/sec  1    1:0:0:0:0:0:0:0
[  4] 0.9248-0.9298 sec  2.82 KBytes  4.63 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.9298-0.9348 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.9348-0.9398 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.9398-0.9448 sec  3.65 KBytes  5.99 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.9448-0.9498 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.9498-0.9548 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.9548-0.9598 sec  2.27 KBytes  3.73 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.9598-0.9648 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.9648-0.9698 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.9698-0.9748 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.9748-0.9798 sec  2.87 KBytes  4.70 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.9798-0.9848 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.9848-0.9898 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.9898-0.9948 sec  2.66 KBytes  4.37 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.9948-0.9998 sec  5.52 KBytes  9.04 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.9998-1.0048 sec  1.38 KBytes  2.26 Mbits/sec  1    1:0:0:0:0:0:0:0
[  4] 1.0048-1.0098 sec  3.66 KBytes  6.00 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 1.0098-1.0148 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 1.0148-1.0198 sec  5.03 KBytes  8.24 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 1.0198-1.0248 sec  1.38 KBytes  2.26 Mbits/sec  1    1:0:0:0:0:0:0:0
[  4] 1.0248-1.0298 sec  2.76 KBytes  4.52 Mbits/sec  1    1:0:0:0:0:0:0:0
[  4] 1.0298-1.0348 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 1.0348-1.0398 sec  2.29 KBytes  3.74 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 1.0398-1.0448 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 1.0448-1.0498 sec  5.52 KBytes  9.04 Mbits/sec  3    3:0:0:0:0:0:0:0
