16:41:18.135719 ------------------------------------------------------------
16:41:18.135814 Client connecting to 10.0.1.24, UDP port 5001 with pid 143935
16:41:18.135825 Binding to local address 10.60.0.1
16:41:18.135834 Sending 200 byte datagrams, IPG target: 305.18 us (kalman adjust)
16:41:18.135952 UDP buffer size:  208 KByte (default)
16:41:18.135964 ------------------------------------------------------------
16:41:18.135973 [  3] local 10.60.0.1 port 34998 connected with 10.0.1.24 port 5001
16:41:18.135981 [ ID] Interval            Transfer     Bandwidth      Write/Err  PPS
16:41:18.896479 [  3] 0.7598-0.7648 sec  3.32 KBytes  5.44 Mbits/sec  17/0     2906 pps
16:41:18.896546 [  3] 0.7648-0.7698 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3857 pps
16:41:18.896585 [  3] 0.7698-0.7748 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3246 pps
16:41:18.916538 [  3] 0.7748-0.7798 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3780 pps
16:41:18.916638 [  3] 0.7798-0.7848 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3276 pps
16:41:18.916652 [  3] 0.7848-0.7898 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3143 pps
16:41:18.916660 [  3] 0.7898-0.7948 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3229 pps
16:41:18.937108 [  3] 0.7948-0.7998 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3106 pps
16:41:18.937241 [  3] 0.7998-0.8048 sec  3.32 KBytes  5.44 Mbits/sec  17/0     2904 pps
16:41:18.937253 [  3] 0.8048-0.8098 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3610 pps
16:41:18.937262 [  3] 0.8098-0.8148 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3794 pps
16:41:18.958414 [  3] 0.8148-0.8198 sec  1.76 KBytes  2.88 Mbits/sec  9/0     1817 pps
16:41:18.958522 [  3] 0.8198-0.8248 sec  4.49 KBytes  7.36 Mbits/sec  23/0     4589 pps
16:41:18.958535 [  3] 0.8248-0.8298 sec  2.93 KBytes  4.80 Mbits/sec  15/0     2623 pps
16:41:18.958543 [  3] 0.8298-0.8348 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3931 pps
16:41:18.958551 [  3] 0.8348-0.8398 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3069 pps
16:41:18.979817 [  3] 0.8398-0.8448 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3362 pps
16:41:18.979927 [  3] 0.8448-0.8498 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3765 pps
16:41:18.979957 [  3] 0.8498-0.8548 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3295 pps
16:41:18.979966 [  3] 0.8548-0.8598 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2913 pps
16:41:19.000044 [  3] 0.8598-0.8648 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3579 pps
16:41:19.000279 [  3] 0.8648-0.8698 sec  2.73 KBytes  4.48 Mbits/sec  14/0     2877 pps
16:41:19.000307 [  3] 0.8698-0.8748 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3489 pps
16:41:19.000342 [  3] 0.8748-0.8798 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3484 pps
16:41:19.020744 [  3] 0.8798-0.8848 sec  1.76 KBytes  2.88 Mbits/sec  9/0     1621 pps
16:41:19.020836 [  3] 0.8848-0.8898 sec  2.73 KBytes  4.48 Mbits/sec  14/0     3289 pps
16:41:19.020848 [  3] 0.8898-0.8948 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2898 pps
16:41:19.020856 [  3] 0.8948-0.8998 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3328 pps
16:41:19.041502 [  3] 0.8998-0.9048 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3022 pps
16:41:19.041599 [  3] 0.9048-0.9098 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3104 pps
16:41:19.041611 [  3] 0.9098-0.9148 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3247 pps
16:41:19.041619 [  3] 0.9148-0.9198 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3731 pps
16:41:19.061917 [  3] 0.9198-0.9248 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3299 pps
16:41:19.062069 [  3] 0.9248-0.9298 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3764 pps
16:41:19.062092 [  3] 0.9298-0.9348 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3122 pps
16:41:19.062107 [  3] 0.9348-0.9398 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3352 pps
16:41:19.082055 [  3] 0.9398-0.9448 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3380 pps
16:41:19.082168 [  3] 0.9448-0.9498 sec  2.73 KBytes  4.48 Mbits/sec  14/0     2404 pps
16:41:19.082180 [  3] 0.9498-0.9548 sec  3.52 KBytes  5.76 Mbits/sec  18/0     4485 pps
16:41:19.082188 [  3] 0.9548-0.9598 sec  3.32 KBytes  5.44 Mbits/sec  17/0     2923 pps
16:41:19.102522 [  3] 0.9598-0.9648 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3757 pps
16:41:19.102647 [  3] 0.9648-0.9698 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3126 pps
16:41:19.102662 [  3] 0.9698-0.9748 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3362 pps
16:41:19.102670 [  3] 0.9748-0.9798 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3323 pps
16:41:19.102678 [  3] 0.9798-0.9848 sec  2.93 KBytes  4.80 Mbits/sec  15/0     2978 pps
16:41:19.122986 [  3] 0.9848-0.9898 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3114 pps
16:41:19.123100 [  3] 0.9898-0.9948 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3384 pps
16:41:19.123114 [  3] 0.9948-0.9998 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3674 pps
16:41:19.123122 [  3] 0.9998-1.0048 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3209 pps
16:41:19.143050 [  3] 1.0048-1.0098 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3085 pps
16:41:19.143142 [  3] 1.0098-1.0148 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3571 pps
16:41:19.143155 [  3] 1.0148-1.0198 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3158 pps
16:41:19.143166 [  3] 1.0198-1.0248 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3339 pps
16:41:19.163481 [  3] 1.0248-1.0298 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3264 pps
16:41:19.163698 [  3] 1.0298-1.0348 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3033 pps
16:41:19.163854 [  3] 1.0348-1.0398 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3580 pps
16:41:19.163882 [  3] 1.0398-1.0448 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2967 pps
16:41:19.184530 [  3] 1.0448-1.0498 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3419 pps
16:41:19.184633 [  3] 1.0498-1.0548 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3264 pps
16:41:19.184651 [  3] 1.0548-1.0598 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3473 pps
16:41:19.184658 [  3] 1.0598-1.0648 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3302 pps
16:41:19.205280 [  3] 1.0648-1.0698 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3251 pps
16:41:19.205388 [  3] 1.0698-1.0748 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2911 pps
16:41:19.205402 [  3] 1.0748-1.0798 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3313 pps
16:41:19.205410 [  3] 1.0798-1.0848 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3271 pps
16:41:19.225741 [  3] 1.0848-1.0898 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3246 pps
16:41:19.225860 [  3] 1.0898-1.0948 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3690 pps
16:41:19.225877 [  3] 1.0948-1.0998 sec  3.32 KBytes  5.44 Mbits/sec  17/0     2784 pps
16:41:19.225885 [  3] 1.0998-1.1048 sec  2.15 KBytes  3.52 Mbits/sec  11/0     2804 pps
16:41:19.246054 [  3] 1.1048-1.1098 sec  4.30 KBytes  7.04 Mbits/sec  22/0     4326 pps
16:41:19.246272 [  3] 1.1098-1.1148 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3238 pps
