20:55:01.998425 Connecting to host 10.0.1.24, port 5201
20:55:01.998547 [  5] local 10.60.0.1 port 56145 connected to 10.0.1.24 port 5201
20:55:01.998560 [ ID] Interval           Transfer     Bitrate         Retr  Cwnd
20:55:12.998557 [  5]  11.00-11.10  sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:13.099066 [  5]  11.10-11.20  sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:13.198738 [  5]  11.20-11.30  sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:13.299733 [  5]  11.30-11.40  sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:13.399005 [  5]  11.40-11.50  sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:13.499311 [  5]  11.50-11.60  sec   128 KBytes  10.5 Mbits/sec    0    105 KBytes       
20:55:13.598820 [  5]  11.60-11.70  sec  0.00 Bytes  0.00 bits/sec    0    105 KBytes       
20:55:13.698495 [  5]  11.70-11.80  sec   128 KBytes  10.5 Mbits/sec    0    112 KBytes       
20:55:13.798400 [  5]  11.80-11.90  sec  0.00 Bytes  0.00 bits/sec    0    112 KBytes       
20:55:13.899184 [  5]  11.90-12.00  sec   128 KBytes  10.4 Mbits/sec    0    117 KBytes       
20:55:13.998309 [  5]  12.00-12.10  sec  0.00 Bytes  0.00 bits/sec    0    117 KBytes       
20:55:14.098392 [  5]  12.10-12.20  sec   128 KBytes  10.5 Mbits/sec    0    124 KBytes       
20:55:14.198807 [  5]  12.20-12.30  sec  0.00 Bytes  0.00 bits/sec    0    124 KBytes       
20:55:14.298419 [  5]  12.30-12.40  sec   128 KBytes  10.5 Mbits/sec    1    130 KBytes       
20:55:14.398506 [  5]  12.40-12.50  sec  0.00 Bytes  0.00 bits/sec    0    130 KBytes       
20:55:14.498904 [  5]  12.50-12.60  sec   128 KBytes  10.4 Mbits/sec    1   1.38 KBytes       
20:55:14.598495 [  5]  12.60-12.70  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:14.699238 [  5]  12.70-12.80  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:14.799106 [  5]  12.80-12.90  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:14.898502 [  5]  12.90-13.00  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:14.998295 [  5]  13.00-13.10  sec  0.00 Bytes  0.00 bits/sec    1   1.38 KBytes       
20:55:15.099138 [  5]  13.10-13.20  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:15.198418 [  5]  13.20-13.30  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:15.300008 [  5]  13.30-13.40  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:15.399021 [  5]  13.40-13.50  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:15.499254 [  5]  13.50-13.60  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:15.599214 [  5]  13.60-13.70  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:15.699231 [  5]  13.70-13.80  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:15.798627 [  5]  13.80-13.90  sec  0.00 Bytes  0.00 bits/sec    1   1.38 KBytes       
20:55:15.899758 [  5]  13.90-14.00  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:15.998722 [  5]  14.00-14.10  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:16.099822 [  5]  14.10-14.20  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:16.205984 [  5]  14.20-14.31  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:16.299566 [  5]  14.31-14.40  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:16.398547 [  5]  14.40-14.50  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:16.498919 [  5]  14.50-14.60  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:16.598408 [  5]  14.60-14.70  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:16.698375 [  5]  14.70-14.80  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:16.798938 [  5]  14.80-14.90  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:16.898544 [  5]  14.90-15.00  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:16.998414 [  5]  15.00-15.10  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:17.099113 [  5]  15.10-15.20  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:17.198500 [  5]  15.20-15.30  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:17.299132 [  5]  15.30-15.40  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:17.398405 [  5]  15.40-15.50  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:17.498348 [  5]  15.50-15.60  sec  0.00 Bytes  0.00 bits/sec    1   1.38 KBytes       
20:55:17.598528 [  5]  15.60-15.70  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:17.699025 [  5]  15.70-15.80  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:17.804148 [  5]  15.80-15.91  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:17.898517 [  5]  15.91-16.00  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:17.998768 [  5]  16.00-16.10  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:18.099217 [  5]  16.10-16.20  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:18.199039 [  5]  16.20-16.30  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:18.298398 [  5]  16.30-16.40  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:18.398963 [  5]  16.40-16.50  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:18.498575 [  5]  16.50-16.60  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:18.598408 [  5]  16.60-16.70  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:18.698590 [  5]  16.70-16.80  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:18.798368 [  5]  16.80-16.90  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:18.898504 [  5]  16.90-17.00  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:18.998315 [  5]  17.00-17.10  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:19.098703 [  5]  17.10-17.20  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:19.198814 [  5]  17.20-17.30  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:19.298422 [  5]  17.30-17.40  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:19.400160 [  5]  17.40-17.50  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:19.498681 [  5]  17.50-17.60  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:19.598565 [  5]  17.60-17.70  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:19.699152 [  5]  17.70-17.80  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:19.798892 [  5]  17.80-17.90  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:19.898493 [  5]  17.90-18.00  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:19.998533 [  5]  18.00-18.10  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:20.098492 [  5]  18.10-18.20  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:20.199167 [  5]  18.20-18.30  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:20.298587 [  5]  18.30-18.40  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:20.398621 [  5]  18.40-18.50  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:20.498688 [  5]  18.50-18.60  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:20.598318 [  5]  18.60-18.70  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:20.698319 [  5]  18.70-18.80  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:20.798387 [  5]  18.80-18.90  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:20.898599 [  5]  18.90-19.00  sec  0.00 Bytes  0.00 bits/sec    0   1.38 KBytes       
20:55:20.998589 [  5]  19.00-19.10  sec   109 KBytes  8.93 Mbits/sec   93   88.2 KBytes       
20:55:21.098395 [  5]  19.10-19.20  sec  2.00 MBytes   168 Mbits/sec    3    114 KBytes       
20:55:21.198468 [  5]  19.20-19.30  sec  1.88 MBytes   157 Mbits/sec    1    124 KBytes       
20:55:21.298461 [  5]  19.30-19.40  sec  0.00 Bytes  0.00 bits/sec    0    128 KBytes       
20:55:21.399501 [  5]  19.40-19.50  sec   128 KBytes  10.4 Mbits/sec    0    130 KBytes       
20:55:21.498896 [  5]  19.50-19.60  sec  0.00 Bytes  0.00 bits/sec    0    130 KBytes       
20:55:21.599247 [  5]  19.60-19.70  sec   128 KBytes  10.4 Mbits/sec    0    124 KBytes       
20:55:21.698478 [  5]  19.70-19.80  sec  0.00 Bytes  0.00 bits/sec    0    124 KBytes       
20:55:21.798497 [  5]  19.80-19.90  sec   128 KBytes  10.5 Mbits/sec    0    130 KBytes       
20:55:21.898299 [  5]  19.90-20.00  sec  0.00 Bytes  0.00 bits/sec    0    130 KBytes       
20:55:22.000948 [  5]  20.00-20.10  sec   128 KBytes  10.2 Mbits/sec    0    130 KBytes       
20:55:22.099375 [  5]  20.10-20.20  sec  0.00 Bytes  0.00 bits/sec    0    130 KBytes       
20:55:22.198451 [  5]  20.20-20.30  sec   128 KBytes  10.6 Mbits/sec    0    124 KBytes       
20:55:22.333879 [  5]  20.30-20.44  sec  0.00 Bytes  0.00 bits/sec    0    124 KBytes       
20:55:22.398407 [  5]  20.44-20.50  sec   128 KBytes  16.2 Mbits/sec    0    130 KBytes       
20:55:22.498423 [  5]  20.50-20.60  sec  0.00 Bytes  0.00 bits/sec    0    130 KBytes       
20:55:22.599019 [  5]  20.60-20.70  sec  0.00 Bytes  0.00 bits/sec    0    130 KBytes       
20:55:22.698587 [  5]  20.70-20.80  sec   128 KBytes  10.5 Mbits/sec    0    130 KBytes       
20:55:22.798974 [  5]  20.80-20.90  sec  0.00 Bytes  0.00 bits/sec    0    130 KBytes       
20:55:22.898283 [  5]  20.90-21.00  sec   128 KBytes  10.6 Mbits/sec    0    130 KBytes       
20:55:22.998636 [  5]  21.00-21.10  sec  0.00 Bytes  0.00 bits/sec    0    130 KBytes       
20:55:23.098411 [  5]  21.10-21.20  sec   128 KBytes  10.5 Mbits/sec    0    128 KBytes       
20:55:23.198403 [  5]  21.20-21.30  sec  0.00 Bytes  0.00 bits/sec    0    128 KBytes       
20:55:23.298589 [  5]  21.30-21.40  sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:23.398961 [  5]  21.40-21.50  sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:23.498341 [  5]  21.50-21.60  sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:23.598533 [  5]  21.60-21.70  sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:23.699319 [  5]  21.70-21.80  sec   128 KBytes  10.4 Mbits/sec    0    131 KBytes       
20:55:23.798718 [  5]  21.80-21.90  sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:23.899067 [  5]  21.90-22.00  sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:23.998562 [  5]  22.00-22.10  sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:24.098356 [  5]  22.10-22.20  sec   128 KBytes  10.5 Mbits/sec    0    125 KBytes       
20:55:24.199301 [  5]  22.20-22.30  sec  0.00 Bytes  0.00 bits/sec    0    125 KBytes       
20:55:24.299231 [  5]  22.30-22.40  sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:24.398784 [  5]  22.40-22.50  sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:24.498427 [  5]  22.50-22.60  sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:24.599040 [  5]  22.60-22.70  sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:24.699030 [  5]  22.70-22.80  sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:24.799112 [  5]  22.80-22.90  sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:24.898562 [  5]  22.90-23.00  sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
